category,code,gt_velocity,tracking_velocity,velocity_error_cms,velocity_error_pct,epe
RESIN (a=9 r=4.5),D-1,3.955,3.955,0.2483333333333332,6.278971765697427,0.18818699999999988
RESIN (a=9 r=4.5),D-5,3.605,3.605,0.24749999999999994,6.8654646324549224,0.18755549999999965
ABS HC,HC-9,2.96,2.96,0.24399999999999994,8.243243243243242,0.1849032000000001
RESIN (a=9 r=4.5),D-3,3.642,3.6420000000000003,0.24239999999999995,6.655683690280066,0.1836907199999999
ABS CUBE,CUBE-7,3.24,3.2399999999999998,0.2399999999999999,7.407407407407405,0.18187199999999995
PLA HC,HC-4,4.33,4.33,0.2366666666666668,5.465742879137802,0.179346
PLA C,C-2,6.2275,6.2275,0.23625000000000007,3.79365716579687,0.17903025000000006
ABS C,C-2,4.613333333333333,4.613333333333333,0.23111111111111113,5.009633911368016,0.17513600000000032
WSP,WSP-6,4.412,4.412,0.22959999999999994,5.203989120580235,0.17399088000000001
PA 6,BSP-1,5.216666666666667,5.216666666666667,0.20666666666666655,3.961661341853033,0.15661199999999997
PLA CUBE,CUBE-24,3.868,3.868,0.2064,5.3360910031023785,0.15640991999999992
ABS HC,HC-6,2.932,2.932,0.1944,6.6302864938608455,0.14731631999999992
RESIN (a=9 r=4.5),CUBE-2,8.709999999999999,8.709999999999999,0.19333333333333336,2.2196708763872945,0.14650799999999986
BSP,BSP-28,5.425,5.425,0.19250000000000012,3.5483870967741957,0.1458765000000002
PLA C,C-6,6.415000000000001,6.415,0.1849999999999996,2.883865939204982,0.14019299999999957
PLA CUBE,CUBE-15,6.0840000000000005,6.0840000000000005,0.18480000000000008,3.0374753451676537,0.14004144000000024
PA 6,BSP-3,6.432,6.4319999999999995,0.17520000000000024,2.723880597014929,0.13276656000000014
PLA C,C-21,6.045,6.045,0.16500000000000004,2.7295285359801493,0.12503699999999984
BSP,BSP-12,5.796666666666667,5.796666666666667,0.15777777777777788,2.7218708069771913,0.11956399999999985
PA 6,C-1,5.416,5.4159999999999995,0.15760000000000024,2.909896602658793,0.11942927999999994
C,C-19,6.13,6.13,0.15666666666666673,2.555736813485591,0.118722
WSP,WSP-50,3.255,3.255,0.15500000000000003,4.761904761904763,0.11745899999999998
ABS CUBE,CUBE-6,3.855,3.855,0.1549999999999998,4.020752269779502,0.11745899999999976
BSP,BSP-27,4.7125,4.7125,0.15374999999999983,3.262599469496017,0.11651175000000014
HC,HC-12,3.714,3.714,0.14719999999999994,3.963381798599891,0.11154816000000016
C,C-18,4.11,4.11,0.1200000000000001,2.9197080291970825,0.0909359999999999
