category,code,shape_name,velocity_mean,predicted,error,abs_error,pct_error
RESIN (a=6 r=3),D-8,Elliptic Cylinder,3.075,3.7558200000000026,-0.6808200000000024,0.6808200000000024,22.140487804878127
RESIN (a=6 r=3),SP-1,Sphere,11.953333333333331,10.664586666666668,1.288746666666663,1.288746666666663,10.781483547127689
RESIN (a=6 r=3),SP-2,Sphere,10.900000000000002,10.664586666666668,0.2354133333333337,0.2354133333333337,2.15975535168196
RESIN (a=6 r=3),SP-3,Sphere,10.516666666666667,10.667520000000001,-0.15085333333333395,0.15085333333333395,1.4344215530903386
RESIN (a=6 r=3),SP-4,Sphere,11.634,10.64328833333333,0.9907116666666695,0.9907116666666695,8.515658128474039
RESIN (a=6 r=3),SP-8,Sphere,12.4,10.64328833333333,1.7567116666666696,1.7567116666666696,14.167029569892495
RESIN (a=9 r=4.5),C-1,Cylinder,8.61,7.754136666666677,0.8558633333333221,0.8558633333333221,9.940340689121047
RESIN (a=9 r=4.5),C-2,Cylinder,9.3525,7.754136666666677,1.5983633333333218,1.5983633333333218,17.090225429920576
RESIN (a=9 r=4.5),C-3,Cylinder,10.47,7.775128333333344,2.694871666666657,2.694871666666657,25.73898439987256
RESIN (a=9 r=4.5),C-4,Cylinder,9.51,7.775128333333344,1.7348716666666562,1.7348716666666562,18.24260427620038
RESIN (a=9 r=4.5),C-5,Cylinder,9.164,7.795345000000011,1.3686549999999889,1.3686549999999889,14.935126582278361
RESIN (a=9 r=4.5),C-6,Cylinder,8.5375,7.795345000000011,0.7421549999999888,0.7421549999999888,8.692884333821246
RESIN (a=9 r=4.5),CUBE-2,Cube,8.709999999999999,7.497376666666676,1.2126233333333234,1.2126233333333234,13.92219670876376
RESIN (a=9 r=4.5),CUBE-3,Cube,9.445,7.485571666666676,1.9594283333333244,1.9594283333333244,20.74566790188803
RESIN (a=9 r=4.5),CUBE-4,Cube,8.988,7.655071666666675,1.3329283333333244,1.3329283333333244,14.830088265835832
RESIN (a=9 r=4.5),CUBE-5,Cube,9.76,7.655071666666675,2.1049283333333246,2.1049283333333246,21.566888661202096
RESIN (a=9 r=4.5),D-1,Elliptic Cylinder,3.955,7.257931666666675,-3.302931666666675,3.302931666666675,83.51281078803223
RESIN (a=9 r=4.5),D-2,Elliptic Cylinder,3.926666666666667,7.407815000000008,-3.481148333333341,3.481148333333341,88.6540322580647
RESIN (a=9 r=4.5),D-3,Elliptic Cylinder,3.642,7.376140000000008,-3.7341400000000085,3.7341400000000085,102.52992861065373
RESIN (a=9 r=4.5),D-4,Elliptic Cylinder,3.694,7.427598333333341,-3.733598333333341,3.733598333333341,101.07196354448678
RESIN (a=9 r=4.5),D-5,Elliptic Cylinder,3.605,7.427598333333341,-3.822598333333341,3.822598333333341,106.03601479426743
RESIN (a=9 r=4.5),D-6,Elliptic Cylinder,3.186,7.376140000000008,-4.190140000000008,4.190140000000008,131.51726302573786
RESIN (a=9 r=4.5),D-7,Elliptic Cylinder,3.466,7.257931666666675,-3.7919316666666747,3.7919316666666747,109.4036834006542
RESIN (a=9 r=4.5),D-8,Elliptic Cylinder,3.594,7.233038333333342,-3.639038333333342,3.639038333333342,101.25315340382144
RESIN (a=9 r=4.5),SP-2,Sphere,15.36,7.649180000000006,7.710819999999994,7.710819999999994,50.20065104166663
RESIN (a=9 r=4.5),SP-3,Sphere,15.659999999999998,7.653013333333339,8.00698666666666,8.00698666666666,51.13018305661979
RESIN (a=9 r=4.5),SP-4,Sphere,12.993333333333334,7.649180000000006,5.344153333333328,5.344153333333328,41.129964084145676
RESIN (a=9 r=4.5),SP-5,Sphere,14.333333333333334,7.649180000000006,6.684153333333328,6.684153333333328,46.633627906976706
RESIN (a=9 r=4.5),SP-7,Sphere,13.53,7.544955000000005,5.985044999999994,5.985044999999994,44.2353658536585
WSP,WSP-12,Wedge Shape Prism,3.6216666666666666,4.910911666666663,-1.2892449999999962,1.2892449999999962,35.598113207547065
WSP,WSP-15,Wedge Shape Prism,1.93,4.757824999999998,-2.827824999999998,2.827824999999998,146.51943005181337
WSP,WSP-18,Wedge Shape Prism,4.293333333333334,4.919238888888887,-0.625905555555553,0.625905555555553,14.578545548654184
WSP,WSP-20,Wedge Shape Prism,4.615,4.758743333333331,-0.14374333333333045,0.14374333333333045,3.1146984470927506
WSP,WSP-21,Wedge Shape Prism,4.0325,4.722949999999997,-0.6904499999999976,0.6904499999999976,17.12213267203962
WSP,WSP-26,Wedge Shape Prism,3.2525,4.333311333333331,-1.080811333333331,1.080811333333331,33.230171662823395
WSP,WSP-27,Wedge Shape Prism,3.806666666666666,4.5595538888888845,-0.7528872222222183,0.7528872222222183,19.778123175715017
WSP,WSP-28,Wedge Shape Prism,3.2433333333333336,4.597704999999995,-1.3543716666666614,1.3543716666666614,41.75863309352501
WSP,WSP-30,Wedge Shape Prism,3.2125,4.234776333333331,-1.022276333333331,1.022276333333331,31.821831387807965
WSP,WSP-41,Wedge Shape Prism,2.67,4.676311666666663,-2.0063116666666634,2.0063116666666634,75.14275905118589
WSP,WSP-42,Wedge Shape Prism,5.084999999999999,4.318495222222221,0.7665047777777785,0.7665047777777785,15.073840270949432
WSP,WSP-44,Wedge Shape Prism,2.615,4.086609666666665,-1.471609666666665,1.471609666666665,56.27570427023575
WSP,WSP-46,Wedge Shape Prism,3.365,4.717186666666664,-1.3521866666666638,1.3521866666666638,40.18385339276861
WSP,WSP-47,Wedge Shape Prism,2.14,4.546927222222216,-2.406927222222216,2.406927222222216,112.47323468328109
WSP,WSP-48,Wedge Shape Prism,3.140000000000001,4.670781333333329,-1.5307813333333278,1.5307813333333278,48.750997876857554
WSP,WSP-49,Wedge Shape Prism,3.186666666666666,4.773196888888884,-1.5865302222222177,1.5865302222222177,49.78651324965119
WSP,WSP-50,Wedge Shape Prism,3.1,4.533499999999996,-1.4334999999999956,1.4334999999999956,46.24193548387082
WSP,WSP-6,Wedge Shape Prism,4.412,4.910678888888887,-0.4986788888888869,0.4986788888888869,11.302785332930346
WSP,WSP-7,Wedge Shape Prism,3.1900000000000004,4.894474999999996,-1.704474999999996,1.704474999999996,53.431818181818045
WSP,WSP-9,Wedge Shape Prism,4.1075,4.7894133333333295,-0.6819133333333296,0.6819133333333296,16.601663623452943
