category,code,shape_enc,shape_name,a,b,c,density,velocity_mean,velocity_std,measurement_count,volume,surface_area,aspect_ratio,vol_surf_ratio,stokes_factor,equiv_diameter,buoyancy_factor,size_squared,stokes_velocity_est
ABS HC,HC-1,1,Half Cylinder,5.266666666666667,5.216666666666666,0.0,1098.045142942569,2.7920000000000003,0.2921814504721338,5,56.82306261185064,82.68666666666665,1.0093911710215295,0.6872011861323613,2719.554387131439,5.241607047885642,0.0980451429425691,27.737777777777776,2.719554387131439
ABS HC,HC-2,1,Half Cylinder,2.8366666666666664,3.2133333333333334,0.0,1260.5331733890926,2.5383333333333336,1.066347348037527,6,10.153885823309148,26.276988888888887,0.8825054443637872,0.3864026987088997,2096.4264966839355,3.0191315896389073,0.26053317338909254,8.046677777777777,2.0964264966839354
ABS HC,HC-3,1,Half Cylinder,5.23,5.19,0.0,1117.5036553480402,3.083333333333333,0.065064070986477,3,55.74817071422661,81.64030000000001,1.007513003274899,0.6828427611298031,3214.065734369409,5.209961612142647,0.11750365534804018,27.352900000000005,3.214065734369409
ABS HC,HC-4,1,Half Cylinder,5.21,5.266666666666667,0.0,1095.4839831311465,3.2099999999999995,0.0,1,56.139839222635246,82.02276666666667,0.9890527115104726,0.684433811126717,2591.8267865101534,5.238256707467985,0.09548398313114649,27.144099999999998,2.591826786510153
ABS HC,HC-5,1,Half Cylinder,5.16,5.25,0.0,1116.6912297209628,2.856666666666667,0.1274100990241091,3,54.89320551580714,80.8056,0.9826699676252142,0.679315866721371,3106.9740060584686,5.204805471869242,0.11669122972096284,26.625600000000002,3.1069740060584685
ABS HC,HC-6,1,Half Cylinder,5.25,5.22,0.0,1113.267611371968,2.932,0.2578177650977526,5,56.50007125325605,82.3725,1.0055544914767285,0.6859010634883311,3121.93853843987,5.234978509984544,0.11326761137196809,27.5625,3.12193853843987
ABS HC,HC-7,1,Half Cylinder,5.183333333333334,5.256666666666667,0.0,1141.1547117334012,3.135,0.1484924240491756,2,55.46111565584175,81.36105555555557,0.9858619159322892,0.6816582407750482,3792.3957982128604,5.219871220207981,0.1411547117334012,26.866944444444446,3.79239579821286
ABS HC,HC-8,1,Half Cylinder,5.163333333333333,5.38,0.0,1104.2417224680005,2.528,0.8566037590391489,5,56.3251669219918,82.21747777777777,0.9595490305395526,0.6850670122381604,2779.085479238254,5.270553418127297,0.1042417224680005,26.66001111111111,2.7790854792382538
ABS HC,HC-9,1,Half Cylinder,5.256666666666667,5.333333333333333,0.0,1100.6620331881986,2.96,0.3203123475609393,5,57.87346575110675,83.70365555555556,0.9854402299568832,0.6914007992386467,2781.54810594104,5.294861240443941,0.10066203318819862,27.632544444444445,2.78154810594104
BSP,BSP-10,4,Box Shape Prism,4.8133333333333335,3.826666666666666,2.833333333333333,1111.383003306045,5.3500000000000005,0.0200000000000001,3,52.18722962962962,85.79804444444444,1.2575111033701996,0.6082495436580446,2580.541222017263,3.736985513345783,0.11138300330604511,23.168177777777778,2.580541222017263
BSP,BSP-11,4,Box Shape Prism,4.83,3.856666666666667,2.8800000000000003,1118.4061013079086,5.462,0.9701133954337507,5,53.64777600000001,87.29060000000001,1.252052190443273,0.6145811968161885,2762.2840968020682,3.7715271717629784,0.11840610130790856,23.3289,2.7622840968020683
BSP,BSP-12,4,Box Shape Prism,4.786666666666666,3.826666666666666,2.8466666666666662,1112.3400108434828,5.796666666666667,0.2079262689833428,3,52.14233007407405,85.6725333333333,1.250544282852913,0.6086165475538622,2573.9543000033605,3.7359134941803753,0.11234001084348279,22.912177777777774,2.5739543000033605
BSP,BSP-16,4,Box Shape Prism,3.84,2.856666666666667,2.7566666666666664,1124.356074662182,6.2,2.090334901397381,5,30.239530666666663,58.86015555555555,1.343753645165053,0.5137434082163977,1833.7049345386706,3.115480343232534,0.12435607466218199,14.7456,1.8337049345386707
BSP,BSP-17,4,Box Shape Prism,4.833333333333333,4.816666666666666,2.8666666666666667,1123.8043969887592,5.783333333333334,0.3722006627255432,3,66.73759259259258,101.88777777777776,1.0032519200166057,0.6550043493322601,2892.2082740985134,4.056238773436837,0.12380439698875921,23.361111111111107,2.8922082740985133
